model_name,fold_idx,accuracy
RandomForestClassifier,0,0.646246
RandomForestClassifier,1,0.663823
RandomForestClassifier,2,0.643829
RandomForestClassifier,3,0.648889
RandomForestClassifier,4,0.658258
LinearSVC,0,0.932462
LinearSVC,1,0.933578
LinearSVC,2,0.935066
LinearSVC,3,0.937622
LinearSVC,4,0.935785
MultinomialNB,0,0.819659
MultinomialNB,1,0.818566
MultinomialNB,2,0.821170
MultinomialNB,3,0.822166
MultinomialNB,4,0.823026
LogisticRegression,0,0.888313
LogisticRegression,1,0.889220
LogisticRegression,2,0.890103
LogisticRegression,3,0.892053
LogisticRegression,4,0.891193